Company,CEO,Video Title,Video URL
Adobe Inc.,Mr. Shantanu  Narayen,CEO Shantanu Narayen Shares on Gen AI at #AdobeMAX! | Adobe,https://www.youtube.com/watch?v=Y6qDNW4DjXM
Adobe Inc.,Mr. Shantanu  Narayen,Adobe CEO Shantanu Narayen says Firefly A.I. is a &#39;creative co-pilot&#39; for Photoshop users,https://www.youtube.com/watch?v=t3K67YIXFEs
Adobe Inc.,Mr. Shantanu  Narayen,"Shantanu Narayen, Adobe CEO: A Fortt Knox Conversation",https://www.youtube.com/watch?v=ceuOa28gQR8
Adobe Inc.,Mr. Shantanu  Narayen,"In Conversation With Adobe&#39;s Shantanu Narayen On Digital, India Plans, Metaverse | Global Dialogues",https://www.youtube.com/watch?v=0vSmAYS1TPc
Adobe Inc.,Mr. Shantanu  Narayen,Adobe CEO Shantanu Narayen: We&#39;re looking to build this company for the long run,https://www.youtube.com/watch?v=WCGbaaw_Wso
Adobe Inc.,Mr. Shantanu  Narayen,Shantanu Narayen interviewed on Sky News Australia,https://www.youtube.com/watch?v=xqJT3N43Tcs
Adobe Inc.,Mr. Shantanu  Narayen,The Moment with Ryan Patel: Featuring Adobe CEO Shantanu Narayen | HP,https://www.youtube.com/watch?v=bWuFe-pM13I
Advanced Micro Devices,Dr. Lisa T. Su Ph.D.,interviewer: &quot;do you speak English?&quot; to AMD CEO Lisa Su,https://www.youtube.com/watch?v=Im6xQyglYuU
Advanced Micro Devices,Dr. Lisa T. Su Ph.D.,How Lisa Su Turned Around AMD,https://www.youtube.com/watch?v=amBe2bofVas
Advanced Micro Devices,Dr. Lisa T. Su Ph.D.,This CEO Made AMD Billions – Now She Wants To Dominate The Market With AI,https://www.youtube.com/watch?v=k-J72u1yQU4
Advanced Micro Devices,Dr. Lisa T. Su Ph.D.,Lisa Su - What makes her a great CEO?,https://www.youtube.com/watch?v=kSVePf_rIHE
Advanced Micro Devices,Dr. Lisa T. Su Ph.D.,[한/영 자막] 리사수 MIT 박사학위 수여식 연설,https://www.youtube.com/watch?v=f9Ji1JXCqdU
Advanced Micro Devices,Dr. Lisa T. Su Ph.D.,"Dr. Lisa Su, Chair &amp; CEO, AMD, 3/22/22",https://www.youtube.com/watch?v=Dfb1x0ZNUM4
Advanced Micro Devices,Dr. Lisa T. Su Ph.D.,MIT Doctoral Hooding 2017,https://www.youtube.com/watch?v=xxcJzv_sgHg
Advanced Micro Devices,Dr. Lisa T. Su Ph.D.,AMD CEO Lisa Su talks about innovation #lisasu #startup #entrepreneur #amd,https://www.youtube.com/watch?v=7hKgIRABHpA
Advanced Micro Devices,Dr. Lisa T. Su Ph.D.,The CEO Who Scaled AMD 100X,https://www.youtube.com/watch?v=S_qgw4p41a4
Advanced Micro Devices,Dr. Lisa T. Su Ph.D.,AMD CEO Lisa Su receives honorary PhD from Yang Ming Chiao Tung University,https://www.youtube.com/watch?v=xwrkJKcUJWM
Aflac,Mr. Daniel Paul Amos,"Dan Amos, CEO, AFLAC, and A.D. &quot;Pete&quot; Correll, retired CEO, Georgia-Pacific | Mason Public Lecture",https://www.youtube.com/watch?v=QxS0YFwIuAA
Aflac,Mr. Daniel Paul Amos,"Dan Amos: Chairman &amp; CEO, Aflac",https://www.youtube.com/watch?v=dhW66tWVCs0
Aflac,Mr. Daniel Paul Amos,"Episode 262: Aflac CEO Dan Amos on the Duck, Managing Risk, and Leading on Social Responsibility",https://www.youtube.com/watch?v=MX4yCsI598E
Aflac,Mr. Daniel Paul Amos,Leaders on Culture: Maintaining Purpose and Direction as Companies Address New Disruptions,https://www.youtube.com/watch?v=YjOq2wD4axU
Aflac,Mr. Daniel Paul Amos,The Salute To Greatness Awards Dinner Experience 2013,https://www.youtube.com/watch?v=nf3vt5SMdyo
Aflac,Mr. Daniel Paul Amos,"VOBS - Voice Over Body Shop -Durin Gleaves about Adobe Audition - Episode 141 October 22, 2018",https://www.youtube.com/watch?v=dGIv0qIWTCY
Aflac,Mr. Daniel Paul Amos,"Arthur Blank, Owner of Atlanta Falcons | Terry Leadership Speaker Series",https://www.youtube.com/watch?v=gMGr8snYj6U
Airbnb,Mr. Brian  Chesky,"Come è nato AirBnB? E tante altre domande che abbiamo fatto a Brian Chesky, founder &amp; CEO di Airbnb",https://www.youtube.com/watch?v=N5BqowY7KYk
Airbnb,Mr. Brian  Chesky,Airbnb CEO Brian Chesky Keynote (Full) - 2012 Phocuswright Conference,https://www.youtube.com/watch?v=jseigrIKUsg
Airbnb,Mr. Brian  Chesky,"Airbnb CEO Brian Chesky on efforts to temporarily house 20,000 Afghan refugees",https://www.youtube.com/watch?v=dR-nHHMFAyI
Airbnb,Mr. Brian  Chesky,Brian Chesky (Airbnb) Case Study  | Strategy For Entrepreneurs,https://www.youtube.com/watch?v=-QkYH31Zrm0
Airbnb,Mr. Brian  Chesky,What I learned while working at Airbnb,https://www.youtube.com/watch?v=dX862qDVMrc
Airbnb,Mr. Brian  Chesky,【デザイナーからAirbnbを起業】コロナを越えて13年目のIPO | Brian Chesky Co-Founder &amp; CEO,https://www.youtube.com/watch?v=_ZYislpPQBI
Airbnb,Mr. Brian  Chesky,eBay CEO: Airbnb is the next eBay | Fortune,https://www.youtube.com/watch?v=536VGuj-5wQ
Airbnb,Mr. Brian  Chesky,Airbnb CEO Brian Chesky Keynote Full   2012 Phocuswright Conference,https://www.youtube.com/watch?v=8d6U_-p2omo
Airbnb,Mr. Brian  Chesky,Is Jeff Bezos Really That Approachable #wealth #jeffbezos #celebrity #entrepreneur #ceo,https://www.youtube.com/watch?v=auFHTIYm2WA
Airbnb,Mr. Brian  Chesky,Waking up in Dan Bilzerian’s house lol,https://www.youtube.com/watch?v=M0vodqIBvvc
Akamai Technologies,Dr. F. Thomson Leighton,Introduction of Tom Leighton,https://www.youtube.com/watch?v=5XpRwj2gMAg
Akamai Technologies,Dr. F. Thomson Leighton,Tom Leighton,https://www.youtube.com/watch?v=gWJW4TAquCI
Akamai Technologies,Dr. F. Thomson Leighton,Thomson Reuters -- Tom Leighton and David Mao on the Magna Carta,https://www.youtube.com/watch?v=bgdUKhdP09o
Akamai Technologies,Dr. F. Thomson Leighton,Tom Leighton - IdeaStream 2015 Keynote,https://www.youtube.com/watch?v=Vxa8aVbqkWE
Akamai Technologies,Dr. F. Thomson Leighton,TiECON East 2013 - Mathematician to Millionaire with Tom Leighton,https://www.youtube.com/watch?v=qmi4jziYeW4
Alexandria Real Estate Equities,Mr. Peter M. Moglia,The Return of Sherlock Holmes: The Master Detective&#39;s Triumphant Comeback 🕵️‍♂️💥🔎,https://www.youtube.com/watch?v=6szvkdEDpds
Align Technology,Mr. Joseph M. Hogan,Why Dentists Still Use Gold Teeth 🤔,https://www.youtube.com/watch?v=d3ZNZvHmATc
Align Technology,Mr. Joseph M. Hogan,Meet a Visionary Behind India’s Digital Boom,https://www.youtube.com/watch?v=OoGfaqxtfMw
Align Technology,Mr. Joseph M. Hogan,Joe Rogan Experience #2180 - Jordan Peterson,https://www.youtube.com/watch?v=r_3yOQl9E4I
Align Technology,Mr. Joseph M. Hogan,Joe Rogan Experience #2054 - Elon Musk,https://www.youtube.com/watch?v=tAJUwiAqW38
Align Technology,Mr. Joseph M. Hogan,Joe Rogan Experience #2152 - Terrence Howard,https://www.youtube.com/watch?v=g197xdRZsW0
Align Technology,Mr. Joseph M. Hogan,CIA Director William Burns on &quot;Face the Nation with Margaret Brennan&quot; | full interview,https://www.youtube.com/watch?v=HN4bgqKq2MU
Align Technology,Mr. Joseph M. Hogan,Joe Rogan Experience #1284 - Graham Hancock,https://www.youtube.com/watch?v=Rxmw9eizOAo
Align Technology,Mr. Joseph M. Hogan,"From Manuscript to Article, How JCO Gets Made: Part V In-House Material",https://www.youtube.com/watch?v=LHgFCZfSm9I
Align Technology,Mr. Joseph M. Hogan,From Resident to Physician Leader: Explore a New Approach to Self  Awareness and Development,https://www.youtube.com/watch?v=2A-zfxtV_Zw
Align Technology,Mr. Joseph M. Hogan,Joe Rogan Experience #1555 - Alex Jones &amp; Tim Dillon,https://www.youtube.com/watch?v=jdVso9FSkmE
Allegion,Mr. John H. Stone,The Third Temple is Already Here (But People Don’t See It),https://www.youtube.com/watch?v=VSVcMtE1WYc
Allegion,Mr. John H. Stone,Exclusive: Diddy Finally Speaks Out Following Little Rode Lawsuit!,https://www.youtube.com/watch?v=kNJINu7O9hE
Allegion,Mr. John H. Stone,Pangil Sa Pangil: DIZASTER vs SAK MAESTRO | GAPO,https://www.youtube.com/watch?v=orBmMyZ3n-4
Allegion,Mr. John H. Stone,Ben Hodges - After the Wagner Coup what is the Likely Future for Vladimir Putin and the Russian Army,https://www.youtube.com/watch?v=pAJfEBn405g
Allegion,Mr. John H. Stone,Bookshelf Tour 2024,https://www.youtube.com/watch?v=NtN7-bZzsEA
Allegion,Mr. John H. Stone,BEST TOY LINE OF 2023 + Most Surprising Action Figure  - Legends &amp; Liquor #67,https://www.youtube.com/watch?v=lkeQWvokct0
Alliant Energy,Mr. John O. Larsen,Fox Business’ Stuart Varney Shamelessly Advocates for Late Stage Capitalism,https://www.youtube.com/watch?v=R6WrJT4QstQ
Alliant Energy,Mr. John O. Larsen,George Washington Carver: An Uncommon Life,https://www.youtube.com/watch?v=_3CVmluYFtI
Alliant Energy,Mr. John O. Larsen,The Michigan House of Representatives Honors Daisy Elliot,https://www.youtube.com/watch?v=1mHL1BS0PEo
Alliant Energy,Mr. John O. Larsen,T-SAT || రైతుమిత్ర - వ్యవసాయం || వరిలో వచ్చే చీడపీడల యాజమాన్యం || Dr N Balram Scientist,https://www.youtube.com/watch?v=lUa71ij0OBo
Alliant Energy,Mr. John O. Larsen,ICASS IX! - IASSA General Assembly,https://www.youtube.com/watch?v=rQStjxujEVc
Allstate,Mr. Thomas Joseph Wilson II,Record BREAKING throw with STEPH CURRY at Crypto.com Arena!!,https://www.youtube.com/watch?v=5wuv4hCKr4M
Allstate,Mr. Thomas Joseph Wilson II,Girlfriend got married while her military boyfriend was away!😳 #Shorts,https://www.youtube.com/watch?v=RRbvLu19HD0
Allstate,Mr. Thomas Joseph Wilson II,I went to highschool with Candace Owens #shorts #candaceowens #badperson,https://www.youtube.com/watch?v=DX8y0iZ14qw
Allstate,Mr. Thomas Joseph Wilson II,Jake from State Farm - SNL,https://www.youtube.com/watch?v=bTNiweGySc4
Allstate,Mr. Thomas Joseph Wilson II,Great Example of Hypergamy,https://www.youtube.com/watch?v=bX9uEzms0W0
Allstate,Mr. Thomas Joseph Wilson II,Grimace - SNL,https://www.youtube.com/watch?v=n_ZZ0mnU3OA
Allstate,Mr. Thomas Joseph Wilson II,39 Cents - SNL,https://www.youtube.com/watch?v=MEb_epsuLqA
Allstate,Mr. Thomas Joseph Wilson II,Mr. Robinson’s Neighborhood 2019 - SNL,https://www.youtube.com/watch?v=whfQf3Pd5bU
Allstate,Mr. Thomas Joseph Wilson II,Dunkin Donuts - SNL,https://www.youtube.com/watch?v=FSvNhxKJJyU
Allstate,Mr. Thomas Joseph Wilson II,People Who LOST IT on Family Feud!,https://www.youtube.com/watch?v=Z6FU6yn2M70
Alphabet Inc. (Class A),Mr. Sundar  Pichai,Alphabet CEO: How do you pronounce Sundar Pichai?,https://www.youtube.com/watch?v=KVn8x7EqY90
Alphabet Inc. (Class A),Mr. Sundar  Pichai,Congress Was Confused by the Internet During Hearing With Google CEO | NowThis,https://www.youtube.com/watch?v=t-lMIGV-dUI
Alphabet Inc. (Class A),Mr. Sundar  Pichai,The Emotional Journey of Sundar Pichai | CEO of Google and Alphabet,https://www.youtube.com/watch?v=ojRxsTnVEyI
Alphabet Inc. (Class A),Mr. Sundar  Pichai,Alphabet parent company of Google,https://www.youtube.com/watch?v=xx6_i3K1J_E
Alphabet Inc. (Class A),Mr. Sundar  Pichai,The Ingredient for Success #sundarpichai #career #jobs #passion #google #alphabet #motivation,https://www.youtube.com/watch?v=RO97moRZjcQ
Alphabet Inc. (Class A),Mr. Sundar  Pichai,A Day In The Life Of Sundar Pichai (Google&#39;s CEO),https://www.youtube.com/watch?v=JaUCiKTNBxQ
Alphabet Inc. (Class A),Mr. Sundar  Pichai,Google &amp; Alphabet CEO Sundar Pichai Meets PM Modi | PM Modi In US | #shorts | VIRAL | CNBC TV18,https://www.youtube.com/watch?v=Q_L38IflTOA
Alphabet Inc. (Class A),Mr. Sundar  Pichai,Google CEO Reveals His Secret Weapon for Maximum Productivity,https://www.youtube.com/watch?v=aPpBYK-XzPs
Alphabet Inc. (Class A),Mr. Sundar  Pichai,The Future of Smartphones with Google’s CEO,https://www.youtube.com/watch?v=2eK9TtRwKFY
Alphabet Inc. (Class A),Mr. Sundar  Pichai,Google CEO Mr. Sundar pichai,https://www.youtube.com/watch?v=ac-s8rziO2M
Charles Schwab Corporation,Mr. Charles Robert Schwab,Jeff Bezos Shopping for three hours in soho today with girlfriend Lauren Sanchez #jeffbezos #amazon,https://www.youtube.com/watch?v=vqhiPcWUy9Y
Charles Schwab Corporation,Mr. Charles Robert Schwab,Is Jeff Bezos Really That Approachable #wealth #jeffbezos #celebrity #entrepreneur #ceo,https://www.youtube.com/watch?v=auFHTIYm2WA
Charles Schwab Corporation,Mr. Charles Robert Schwab,Chuck,https://www.youtube.com/watch?v=Q3DXvg_90KE
Charles Schwab Corporation,Mr. Charles Robert Schwab,Asda employee faints in front of Prince Charles,https://www.youtube.com/watch?v=TzNCqZsFdKE
Charles Schwab Corporation,Mr. Charles Robert Schwab,How much money is in your bank account?  🤔💰  #shorts #finance #interview,https://www.youtube.com/watch?v=IKXiyApvKjI
Charles Schwab Corporation,Mr. Charles Robert Schwab,Amazing Golf Swing you need to see | Golf Girl awesome swing | Golf shorts | SAM STOCKTON,https://www.youtube.com/watch?v=Qv83P0s2Z4M
Charles Schwab Corporation,Mr. Charles Robert Schwab,Waking up in Dan Bilzerian’s house lol,https://www.youtube.com/watch?v=M0vodqIBvvc
Charles Schwab Corporation,Mr. Charles Robert Schwab,The Silk Speaker Series at USF Presents Charles Schwab,https://www.youtube.com/watch?v=pPlmuue3OnM
Charles Schwab Corporation,Mr. Charles Robert Schwab,Grumpy king,https://www.youtube.com/watch?v=Z3Q_aaIz7q8
Charles Schwab Corporation,Mr. Charles Robert Schwab,Here&#39;s what happened after Chinese President Xi Jinping&#39;s aide arrived late for the BRICS meeting…,https://www.youtube.com/watch?v=bAWUOto-vY0
Charter Communications,Mr. Christopher L. Winfrey,Madea breaks character,https://www.youtube.com/watch?v=FnazYRUZtYA
Charter Communications,Mr. Christopher L. Winfrey,PIRACY_KING | Cable &amp; Streaming Companies Are Terrified Of Him | STORY,https://www.youtube.com/watch?v=e_vPnCPWxJI
Charter Communications,Mr. Christopher L. Winfrey,The Power of Storytelling: Human Rights at Home and Around the World | Producers Guild of America,https://www.youtube.com/watch?v=D4TtL9Ld9GE
Charter Communications,Mr. Christopher L. Winfrey,Euronews English Live,https://www.youtube.com/watch?v=pykpO5kQJ98
Charter Communications,Mr. Christopher L. Winfrey,What We&#39;ve Learned from Listening to America,https://www.youtube.com/watch?v=zjgRAvCjoMo
Charter Communications,Mr. Christopher L. Winfrey,David Anthony Johnson share the stage with the late Johnnie L. Cochran in 1999,https://www.youtube.com/watch?v=RoiW-bbhzAo
Charter Communications,Mr. Christopher L. Winfrey,&quot;The Diplomatic Style of Andrew Young&quot; (1977 Documentary) - Jenny Barraclough,https://www.youtube.com/watch?v=oLgM53JijwM
Charter Communications,Mr. Christopher L. Winfrey,"The Dr. Joe L. Dudley, Sr. Legacy Project",https://www.youtube.com/watch?v=jn6j7Ao7Aj8
Charter Communications,Mr. Christopher L. Winfrey,Afternoon Exercises | Harvard University Commencement 2014,https://www.youtube.com/watch?v=t0onDHSYNRc
Charter Communications,Mr. Christopher L. Winfrey,What Was Life Like For Black Americans in The 80s?,https://www.youtube.com/watch?v=HTFW7rwpEx0
Chevron Corporation,Mr. Michael K. Wirth,CEO Speaker Series: Mike Wirth,https://www.youtube.com/watch?v=r08CrcdY5hY
Chevron Corporation,Mr. Michael K. Wirth,Chevron CEO: Energy &#39;Not a God-Given Right&#39;,https://www.youtube.com/watch?v=hF3Hko7kteU
Chevron Corporation,Mr. Michael K. Wirth,State of Energy 2019,https://www.youtube.com/watch?v=X3jlyCpSvHo
Chevron Corporation,Mr. Michael K. Wirth,"WSJ Viewpoints: John Watson, CEO of Chevron",https://www.youtube.com/watch?v=ohxGWmNgA9U
Chevron Corporation,Mr. Michael K. Wirth,TXOGA Powering Forward,https://www.youtube.com/watch?v=RWFvd7ARrkw
Chevron Corporation,Mr. Michael K. Wirth,MIc&#39;d Up | Part 1: A Conversation with John S. Watson,https://www.youtube.com/watch?v=XvbPiml-PGY
Chevron Corporation,Mr. Michael K. Wirth,Organizational Leadership Series with Rhonda Morris,https://www.youtube.com/watch?v=CkN43pBXj6U
Chevron Corporation,Mr. Michael K. Wirth,"Darren Woods, Chairman &amp; CEO ExxonMobil | Fuelling the Future",https://www.youtube.com/watch?v=LzSwzDNTtVE
Chevron Corporation,Mr. Michael K. Wirth,Watch CNBC&#39;s full interview with Bank of America CEO Brian Moynihan,https://www.youtube.com/watch?v=bCG8ugpusFA
Chevron Corporation,Mr. Michael K. Wirth,Breaking News | Claire’s CEO Made $2.7 Million in 2017,https://www.youtube.com/watch?v=S_bcZ3jtgwk
Chubb Limited,Mr. Evan G. Greenberg,Chubb CEO Evan Greenberg talks the state of the insurance market with Jim Cramer,https://www.youtube.com/watch?v=HPDzbvRCJhU
Chubb Limited,Mr. Evan G. Greenberg,Trade and Investment with China is in the U.S. National Interest | Evan Greenberg,https://www.youtube.com/watch?v=o7JbEIK4RFA
Chubb Limited,Mr. Evan G. Greenberg,Business and Trade are in Our National Interest,https://www.youtube.com/watch?v=qjZyW43Y2QM
Chubb Limited,Mr. Evan G. Greenberg,AIG CEO on Hank Greenberg&#39;s reign,https://www.youtube.com/watch?v=Alz59vGQkhg
Chubb Limited,Mr. Evan G. Greenberg,"Hank Greenberg: Insurance, Intrigue and AIG",https://www.youtube.com/watch?v=G3p5tQvd3A4
Chubb Limited,Mr. Evan G. Greenberg,CGCC Insights - Vol. 4 - Maurice Greenberg,https://www.youtube.com/watch?v=pCaV9Eoacf4
Chubb Limited,Mr. Evan G. Greenberg,Indonesia and Southeast Asia - Full Video,https://www.youtube.com/watch?v=AX0Te7pKQ84
Chubb Limited,Mr. Evan G. Greenberg,[NewsChina] Maurice R. Greenberg,https://www.youtube.com/watch?v=LpB_hjBsySo
Chubb Limited,Mr. Evan G. Greenberg,Insurance as a Craft and Its Digital Transformation with Chubb&#39;s Mohan Narayanaswamy,https://www.youtube.com/watch?v=s5_ffypx_9o
Chubb Limited,Mr. Evan G. Greenberg,"Ray Dalio, Founder and Chairman, Bridgewater Associates",https://www.youtube.com/watch?v=KBLb0H3A1CY
Church & Dwight,Mr. Matthew Thomas Farrell,Joe Biden&#39;s diaper pops out...🤣🤣🤣,https://www.youtube.com/watch?v=bCIy6tA-bC0
Church & Dwight,Mr. Matthew Thomas Farrell,Natalie Portman having anxiety #natalieportman #shorts #shortsfeed #viral #subscribetomychannel,https://www.youtube.com/watch?v=jOuHTl_x4ok
Church & Dwight,Mr. Matthew Thomas Farrell,Lady Gaga’s best response ever,https://www.youtube.com/watch?v=S6n3pDF41QE
Church & Dwight,Mr. Matthew Thomas Farrell,A Different Angle That We Didnt See Will Smith And Chris Rock At The Oscars,https://www.youtube.com/watch?v=hlXlMQc_22o
Church & Dwight,Mr. Matthew Thomas Farrell,Respect over Business,https://www.youtube.com/watch?v=MlL-Uz_e4YA
Church & Dwight,Mr. Matthew Thomas Farrell,Record BREAKING throw with STEPH CURRY at Crypto.com Arena!!,https://www.youtube.com/watch?v=5wuv4hCKr4M
Church & Dwight,Mr. Matthew Thomas Farrell,Ex Mobsters Franzese VS Gravano Heated Exchange #mafia #michaelfranzese #joerogan #jre #shorts,https://www.youtube.com/watch?v=cZntIgMucP4
Church & Dwight,Mr. Matthew Thomas Farrell,Tom Cruise is FUDGE PACKER I 200 I South Park S14E05,https://www.youtube.com/watch?v=v6KJ2U9YGwE
Church & Dwight,Mr. Matthew Thomas Farrell,&quot;Tight Pants&quot; with Matthew McConaughey | The Tonight Show Starring Jimmy Fallon,https://www.youtube.com/watch?v=x48Lsz3qmXA
Church & Dwight,Mr. Matthew Thomas Farrell,Chris Rock CONFRONTS Jada Pinkett Smith After She Tries Apologizing For The Oscars,https://www.youtube.com/watch?v=aXU_CzCwgEg
Cigna,Mr. David Michael Cordani,Washington Post Live Event | Interview with Cigna CEO David Cordani,https://www.youtube.com/watch?v=Qf8Qi-Dz8ek
Cigna,Mr. David Michael Cordani,Content from Cigna: America’s Mental Health Crisis - The Growing Impact of Loneliness,https://www.youtube.com/watch?v=DwbYQP7oEZc
